Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%],IH Calculado [mg HC/g COT],Cluster,Carbono Ativo [%],Carbono Inerte [%],IH₀ Ativo [mg HC/g COT],Ro [%]_ajustado,Taxa de Transformação [v/v],COT₀ [%],S2₀ [mg HC/g rocha],Rₒ calculada [%],IH₀ [mg HC/g COT]
4752,937,0.42,1.12,3.64,436,119.5304,388.4739,,119.53041622198506,1,0.9370000000000006,-5.295409196883467e-16,119.53041622198499,0.8316910465764611,0.21763881272012497,0.9637944918306682,1.4315638584961412,0.6879999999999988,148.5341398638805
4770,787,0.44,1.17,4.37,432,148.6658,555.2731,,148.66581956797967,1,0.7870000000000006,-5.295409196883467e-16,148.66581956797955,0.8363750020145613,0.23034681069083973,0.8171142078193899,1.520165207202208,0.6159999999999997,186.04072633359672
4785,0.68,0.54,1.09,4.05,435,160.2941,595.5883,,160.29411764705884,1,0.6800000000000006,-5.295409196883467e-16,160.2941176470587,0.840264816003236,0.24122739919776137,0.7098016248568941,1.4365305215917916,0.669999999999999,202.38478911363669
4800,693,0.65,1.19,3.73,433,171.7172,538.2395,,171.7171717171717,1,0.6930000000000005,-5.295409196883467e-16,171.7171717171716,0.844142455280334,0.2523639224324583,0.7275447800028143,1.591683488404818,0.6339999999999995,218.77464207751734
4827,694,0.69,1.2,2.59,436,172.9107,373.1989,,172.91066282420752,1,0.6940000000000005,-5.295409196883467e-16,172.91066282420738,0.8510917677602929,0.2730283893017784,0.7327587759429578,1.650683441197184,0.6879999999999988,225.26969248140165
4842,0.69,0.66,1.08,2.76,436,156.5217,400.0,,156.5217391304348,1,0.6900000000000005,-5.295409196883467e-16,156.52173913043467,0.8549357197662992,0.28483700661668365,0.7269924918086159,1.5101452535885573,0.6879999999999988,207.72501375242675
4854,0.71,0.75,1.05,4.07,438,147.8873,573.2394,,147.88732394366198,1,0.7100000000000005,-5.295409196883467e-16,147.88732394366187,0.8580023172172879,0.2944449166238243,0.7476843376195411,1.4881899723202465,0.7239999999999993,199.0398751775795
4866,0.73,0.61,0.68,3.68,444,93.1507,504.1096,,93.15068493150686,1,0.7300000000000005,-5.295409196883467e-16,93.15068493150677,0.8610613428150131,0.30419069718637104,0.755566016291426,0.9772792592026275,0.831999999999999,129.3439935267927
4878,912,0.52,1.45,3.32,441,158.9912,364.0351,,158.99122807017542,1,0.9120000000000006,-5.295409196883467e-16,158.99122807017534,0.8641128338593056,0.31406935142184267,0.9690968044706655,2.1139163310542495,0.7779999999999996,218.13262837131123
4881,1.13,0.67,2.07,3.02,440,183.1858,267.2567,,183.1858407079646,1,1.1300000000000003,-5.295409196883467e-16,183.18584070796453,0.8648745336912587,0.3165591781694701,1.2124561002177052,3.0287918629965733,0.7599999999999989,249.80631154008228
